kaatumisenpelkoOn,Test,B_Mean,B_SD,B_n,B_SE,B_CI_lower,B_CI_upper,B_Skew,B_Skew_label,B_Kurtosis,B_Kurtosis_label,Baseline_p_value,Baseline_p_value_sig,Baseline_d,Baseline_d_label,C_n,C_Mean,C_SD,C_SE,C_CI_lower,C_CI_upper,C_Skew,C_Skew_label,C_Kurtosis,C_Kurtosis_label,Change_p_value,Change_p_value_sig,Change_d,Change_d_label,Change_p_between,Change_p_between_sig,Change_d_between,Change_d_between_label,F_Mean,F_SD,F_n,F_SE,F_CI_lower,F_CI_upper,F_Skew,F_Skew_label,F_Kurtosis,F_Kurtosis_label,Follow_up_p_value,Follow_up_p_value_sig,Follow_up_d,Follow_up_d_label
0,FTSST,16.257638888888888,6.986096754823979,72,0.8233193982268949,14.643932868364175,17.8713449094136,2.272989292742107,Substantial nonnormality,10.423676937746302,Too peaked,0.01974463818888207,*,-0.27733869375093995,Small,72,-1.0383333333333333,6.475072461392358,0.7630946076874677,-2.5339987644007698,0.4573320977341033,1.9155663773671292,Generally Acceptable,16.364358478349168,Too peaked,0.17791633148344888,,-0.1603585657958887,Very Small,0.6364205371277096,,0.05358892159864345,Very Small,15.219305555555556,7.431450169625756,72,0.8758048014987152,13.502728144618073,16.935882966493036,2.464964047596386,Substantial nonnormality,11.107862563796797,Too peaked,0.08571059925929302,,-0.19895477698939856,Very Small
0,HGS,18.95945945945946,6.2443161863666266,74,0.7258870122349309,17.536720915478995,20.382198003439925,-0.06667713921578171,Excellent,2.8908066592924793,Too peaked,0.5283800444342869,,0.08263354093921753,Very Small,74,0.6148648648648649,4.379706702897598,0.5091305626023238,-0.3830310378356897,1.6127607675654194,0.7827651256731523,Excellent,5.718464632983586,Too peaked,0.2310700301119328,,0.14038950700924166,Very Small,0.5231781582170365,,0.09303452722205052,Very Small,19.574324324324323,7.355308600303701,74,0.8550372570174116,17.898451300570194,21.25019734807845,0.050083676198898586,Excellent,3.3679190960012537,Too peaked,0.3449997888668398,,0.13646476893726203,Very Small
0,MWS,1.30514148539967,0.4856137168721816,72,0.05723012537292063,1.1929704396687455,1.4173125311305943,1.051413924608721,Generally Acceptable,5.618830543236569,Too peaked,0.0065975555913893045,**,0.4141337936578981,Small,72,-0.02805689018633567,0.45926147279314106,0.05412448362495853,-0.13414087809125438,0.07802709771858304,-4.034589140342534,Substantial nonnormality,25.01686427374905,Too peaked,0.6058070067361178,,-0.061091321280879476,Very Small,0.31353386451736787,,-0.17228868938043015,Very Small,1.2770845952133343,0.4827639628642503,72,0.05689427864230033,1.1655718090744256,1.388597381352243,0.199136614840233,Excellent,2.6837285669748607,Too peaked,0.07331624531059315,,0.254315683582512,Small
0,SLS,10.737500028030295,12.524565356677034,74,1.455951149006346,7.8838357759778575,13.591164280082733,1.365516557423166,Generally Acceptable,4.73853348815625,Too peaked,0.5637846281977119,,0.07599288802099352,Very Small,74,-0.2639189668603859,7.763780210221685,0.9025211171642638,-2.032860356502343,1.5050224227815712,1.9635713177010046,Generally Acceptable,12.02120063357846,Too peaked,0.7707918744649987,,-0.03399361647473145,Very Small,0.9179850988834011,,-0.014050581363782459,Very Small,10.47358106116991,14.162374820830784,74,1.6463426319264993,7.246749502593971,13.700412619745848,1.536719873491803,Generally Acceptable,4.674013693610586,Too peaked,0.6317011748457821,,0.06828796052423282,Very Small
0,VAS,3.2260273972602738,2.4721238842822917,73,0.2893402154273538,2.6589205750226603,3.793134219497887,0.05522673830269811,Excellent,1.7562764415755945,Normal distribution,0.006493786753861538,**,-0.3653172429490522,Small,73,-0.3356164383561644,2.3732519802895458,0.2777681343585771,-0.8800419816989755,0.20880910498664673,0.5295955988030513,Excellent,4.8774257726972605,Too peaked,0.23090036285177815,,-0.14141626811798463,Very Small,0.2546546490129372,,-0.15181120534116818,Very Small,2.8904109589041096,2.476622048923002,73,0.28986668577717956,2.3222722547808377,3.4585496630273815,0.4011973408148164,Excellent,2.377669116755592,Too peaked,1.7400010462671119e-4,***,-0.5110912693319424,Medium
1,FTSST,18.868877005347592,10.19105228038622,187,0.7452435505484354,17.40819964627266,20.329554364422524,2.1187585314088966,Substantial nonnormality,8.085247836487465,Too peaked,0.01974463818888207,*,-0.27733869375093995,Small,187,-1.5511229946524063,10.512502557546675,0.7687503228899818,-3.057873627516771,-0.04437236178804205,0.8266520096895685,Excellent,10.62132890562362,Too peaked,0.04505747885070252,*,-0.14755030842193634,Very Small,0.6364205371277096,,0.05358892159864345,Very Small,17.317754010695186,11.516554717571564,187,0.84217388859113,15.66709318905657,18.9684148323338,3.5404120726879316,Substantial nonnormality,23.49947525558774,Too peaked,0.08571059925929302,,-0.19895477698939856,Very Small
1,HGS,18.405128205128204,6.874798918069611,195,0.4923145761259849,17.440191635921273,19.370064774335134,0.15859992564904377,Excellent,3.854163065146482,Too peaked,0.5283800444342869,,0.08263354093921753,Very Small,195,0.24487179487179486,3.8143920836766116,0.27315429065390867,-0.29051061480986606,0.7802542045534558,-2.4936430446996183,Substantial nonnormality,23.643909188366067,Too peaked,0.3711183807245614,,0.06419680764326884,Very Small,0.5231781582170365,,0.09303452722205052,Very Small,18.65,6.54097907170592,195,0.4684092404029252,17.731917888810266,19.56808211118973,-0.08720673099194674,Excellent,3.1128626862317117,Too peaked,0.3449997888668398,,0.13646476893726203,Very Small
1,MWS,1.1247287518637523,0.4135152699042776,175,0.03125881621412773,1.063461472084062,1.1859960316434426,0.6142089609296258,Excellent,3.1576075050254215,Too peaked,0.0065975555913893045,**,0.4141337936578981,Small,175,0.030834121193204573,0.2800855443410102,0.021172477032870493,-0.010663933791221592,0.07233217617763074,0.5310094940333041,Excellent,5.115487701537512,Too peaked,0.14710338685945626,,0.11008822774396156,Very Small,0.31353386451736787,,-0.17228868938043015,Very Small,1.1555628730569567,0.4758134672341628,175,0.03596811727877071,1.0850653631905662,1.2260603829233472,0.6353875052796352,Excellent,3.05114025282256,Too peaked,0.07331624531059315,,0.254315683582512,Small
1,SLS,9.713915335438237,13.818984304745461,189,1.0051832000619487,7.7437562633168175,11.684074407559656,1.8575608606861593,Generally Acceptable,6.2899364203732855,Too peaked,0.5637846281977119,,0.07599288802099352,Very Small,189,-0.15359784875596988,7.885591425321004,0.5735923746988605,-1.2778389031657365,0.9706432056537966,-0.025784649473390774,Excellent,10.668593708919639,Too peaked,0.7891605087580147,,-0.019478291541045353,Very Small,0.9179850988834011,,-0.014050581363782459,Very Small,9.560317486682267,13.054641325846017,189,0.949585429304572,7.699130045245306,11.421504928119228,1.6610781307215692,Generally Acceptable,5.43983684471653,Too peaked,0.6317011748457821,,0.06828796052423282,Very Small
1,VAS,4.192105263157894,2.7072684430479876,190,0.19640589581036239,3.807149707369584,4.5770608189462045,-0.21717515067753979,Excellent,2.0231926601986796,Too peaked,0.006493786753861538,**,-0.3653172429490522,Small,190,0.04736842105263158,2.57744970977222,0.18698785502926882,-0.3191277748047353,0.41386461690999843,-0.11570144248492496,Excellent,4.292311268443788,Too peaked,0.8002935638181576,,0.018378019510152818,Very Small,0.2546546490129372,,-0.15181120534116818,Very Small,4.239473684210527,2.699063081972675,190,0.19581061635199074,3.855684876160625,4.623262492260428,-0.21918575592174125,Excellent,2.071333116735628,Too peaked,1.7400010462671119e-4,***,-0.5110912693319424,Medium
