term,estimate,std.error,statistic,p.value,conf.low,conf.high,model,outcome
FOF_status_fFOF,-0.15004492092070368,0.07399681121720675,-2.0277214443777707,0.043608536123022415,-0.29575426204148414,-0.004335579799923245,base,Composite
FOF_status_fFOF,-0.0926883015466112,0.07479554110281857,-1.2392222875852472,0.2164838316048832,-0.24003413601036153,0.05465753291713912,extended,Composite
FOF_status_fFOF,-0.6280733048779148,0.5324900409042194,-1.1795024444239104,0.23930610403299818,-1.6767510998334914,0.42060449007766176,base,HGS
FOF_status_fFOF,-0.5055250117735495,0.5531471375056668,-0.9139069471698578,0.3617145494618377,-1.5953586989770698,0.5843086754299709,extended,HGS
FOF_status_fFOF,-0.027239303566098813,0.04698071280432102,-0.5797975794780512,0.5626137530868226,-0.1198026741258141,0.06532406699361647,base,MWS
FOF_status_fFOF,-0.014582450752958345,0.048941942624297435,-0.2979540649806333,0.7660286496959354,-0.11105504053848596,0.08189013903256927,extended,MWS
FOF_status_fFOF,-1.1537590085529252,1.2378211218243713,-0.9320886420587569,0.352212076437569,-3.5919373485631167,1.2844193314572665,base,FTSST
FOF_status_fFOF,-0.9318551293926391,1.3085578971266556,-0.7121237290599185,0.4771259121134984,-3.5104514155488236,1.6467411567635455,extended,FTSST
FOF_status_fFOF,-0.646705786893957,1.053519218164909,-0.613852861669133,0.5398774906241373,-2.7217327838607024,1.4283212100727884,base,SLS
FOF_status_fFOF,0.301315679160184,1.0847990126890126,0.2777617564504222,0.7814480609338184,-1.8362477026979351,2.438879061018303,extended,SLS
