contrast,age_c,estimate,SE,df,conf.low,conf.high,t.ratio,p.value,effect,moderator,label,BMI_c,Sex_f,MOI_c,PainVAS0_c,SRH_3class,SRM_3class
FOF - Ei FOF,-10,0.038313239519891115,0.1382873377497634,237,-0.23411613618192795,0.3107426152217102,0.27705529763846126,0.7819791391236517,FOF (FOF - Ei FOF),age_c,age,NA,NA,NA,NA,NA,NA
FOF - Ei FOF,0,-0.09065315287008373,0.07477532719341824,237,-0.23796234282689915,0.056656037086731684,-1.212340437315573,0.22658924547256834,FOF (FOF - Ei FOF),age_c,age,NA,NA,NA,NA,NA,NA
FOF - Ei FOF,10,-0.21961954526005856,0.13526032034602473,237,-0.48608562399660304,0.04684653347648593,-1.6236805051047118,0.1057732831408057,FOF (FOF - Ei FOF),age_c,age,NA,NA,NA,NA,NA,NA
FOF - Ei FOF,NA,-0.10455022291257748,0.1047391890094655,237,-0.3108889400914201,0.10178849426626513,-0.9981958415119012,0.319202457917093,FOF (FOF - Ei FOF),BMI_c,BMI,-5,NA,NA,NA,NA,NA
FOF - Ei FOF,NA,-0.0918443090033408,0.07512958341200009,237,-0.23985139221659724,0.056162774209915625,-1.2224786140458082,0.22274102233717918,FOF (FOF - Ei FOF),BMI_c,BMI,0,NA,NA,NA,NA,NA
FOF - Ei FOF,NA,-0.07913839509410411,0.11225940161148161,237,-0.30029211166225783,0.1420153214740496,-0.7049600653314906,0.4815273076124932,FOF (FOF - Ei FOF),BMI_c,BMI,5,NA,NA,NA,NA,NA
FOF - Ei FOF,NA,-0.05424920173097672,0.07828249901581487,237,-0.20846760438652426,0.09996920092457082,-0.6929927175679091,0.48899264381534313,FOF (FOF - Ei FOF),Sex_f,sex,NA,female,NA,NA,NA,NA
FOF - Ei FOF,NA,-0.43942600542757504,0.2280515677677715,237,-0.8886930695402572,0.009841058685107096,-1.9268712323655213,0.055191316099,FOF (FOF - Ei FOF),Sex_f,sex,NA,male,NA,NA,NA,NA
FOF - Ei FOF,NA,-0.037559649707067766,0.09120814756820493,218,-0.21732229861332694,0.1422029991991914,-0.41180147507086334,0.6808895439399648,FOF (FOF - Ei FOF),MOI_c,MOI,NA,NA,-2,NA,NA,NA
FOF - Ei FOF,NA,-0.0251868255838347,0.08041075838709778,218,-0.1836688396760148,0.1332951885083454,-0.3132270617643624,0.7544076306165236,FOF (FOF - Ei FOF),MOI_c,MOI,NA,NA,0,NA,NA,NA
FOF - Ei FOF,NA,-0.012814001460601632,0.09830988346236023,218,-0.2065735014180387,0.18094549849683544,-0.13034296257209693,0.8964152853497347,FOF (FOF - Ei FOF),MOI_c,MOI,NA,NA,2,NA,NA,NA
FOF - Ei FOF,NA,-0.05940202388001142,0.0918358989246903,218,-0.24040191145085285,0.12159786369083,-0.6468279243253647,0.5184237694764487,FOF (FOF - Ei FOF),PainVAS0_c,Pain,NA,NA,NA,-2,NA,NA
FOF - Ei FOF,NA,-0.016621975744219506,0.08128192298226608,218,-0.17682097301647892,0.14357702152803992,-0.2044978161730506,0.8381552927760793,FOF (FOF - Ei FOF),PainVAS0_c,Pain,NA,NA,NA,0,NA,NA
FOF - Ei FOF,NA,0.026158072391572414,0.10850258542546753,218,-0.1876902809550867,0.24000642573823153,0.241082480099434,0.8097177820410404,FOF (FOF - Ei FOF),PainVAS0_c,Pain,NA,NA,NA,2,NA,NA
FOF - Ei FOF,NA,0.08712444672401644,0.1447458626741659,217,-0.19816332328890285,0.3724122167369357,0.601913209223398,0.547860275011014,FOF (FOF - Ei FOF),SRH_3class,SRH,NA,NA,NA,NA,poor,NA
FOF - Ei FOF,NA,-0.05142763014523476,0.09973144228784334,217,-0.24799394468314312,0.14513868439267358,-0.5156611492372198,0.606616058433656,FOF (FOF - Ei FOF),SRH_3class,SRH,NA,NA,NA,NA,fair,NA
FOF - Ei FOF,NA,-0.2329067077151919,0.24765465117259625,217,-0.7210232027987328,0.255209787368349,-0.9404495599514254,0.34803270556534294,FOF (FOF - Ei FOF),SRH_3class,SRH,NA,NA,NA,NA,good,NA
FOF - Ei FOF,NA,0.11779090245025095,0.16057316406886338,217,-0.19869178696689319,0.4342735918673951,0.7335653073370041,0.4640054902321542,FOF (FOF - Ei FOF),SRM_3class,SRM,NA,NA,NA,NA,NA,poor
FOF - Ei FOF,NA,-0.1378494089909566,0.10019006302883117,217,-0.3353196449678675,0.05962082698595425,-1.3758790525093132,0.1702774520158754,FOF (FOF - Ei FOF),SRM_3class,SRM,NA,NA,NA,NA,NA,fair
FOF - Ei FOF,NA,0.19735486257213714,0.2000421343300196,217,-0.19691944245656096,0.5916291676008352,0.9865664712742509,0.32495395143560335,FOF (FOF - Ei FOF),SRM_3class,SRM,NA,NA,NA,NA,NA,good
