"term","sumsq","df","statistic","p.value","model_id"
"FOF_status:Balance_problem",0.0269027744894998,1,0.0973965625740815,0.755232551872016,"DeltaComposite__Balance_problem"
"FOF_status:Balance_problem",3.24720502071614,1,0.221110900363491,0.638609688043256,"Delta_HGS__Balance_problem"
"FOF_status:Balance_problem",0.0299912526422368,1,0.299501494783508,0.584732738226364,"Delta_MWS__Balance_problem"
"FOF_status:Balance_problem",4.24398278144872,1,0.0555904990793755,0.813808964287287,"Delta_FTSST__Balance_problem"
"FOF_status:Balance_problem",52.6970666017878,1,0.940748385289145,0.333057853688438,"Delta_SLS__Balance_problem"
"FOF_status:Walk500m_G_final",0.292634978529847,1,1.14454430039606,0.285709725905632,"DeltaComposite__Walk500m_G_final"
"FOF_status:Walk500m_G_final",0.150476483779585,1,0.0102925994207335,0.919273609603615,"Delta_HGS__Walk500m_G_final"
"FOF_status:Walk500m_G_final",0.000432018021527369,1,0.00438879300088592,0.947238718100634,"Delta_MWS__Walk500m_G_final"
"FOF_status:Walk500m_G_final",66.9175169706832,1,0.918971148113672,0.338718067847869,"Delta_FTSST__Walk500m_G_final"
"FOF_status:Walk500m_G_final",38.4222687770325,1,0.69075052692089,0.406728472943451,"Delta_SLS__Walk500m_G_final"
